0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 851
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:34 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:35 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:35 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:47 -0600] "GET /AdministradordeTareas/api/tareas HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:16:59:55 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:06 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:12 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:52 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:52 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:52 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:00:53 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:02 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:06 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:07 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:07 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:18 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:19 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:19 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:19 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:38 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:39 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:39 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular-ui-router.min.js HTTP/1.1" 200 32961
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular-mocks.js HTTP/1.1" 200 111629
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/app/app.js HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/app/MainCtrl.js HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/app/Tareas/tareasCtrl.js HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/servicios/tareasResource.js HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/servicios/common.js HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/servicios/tareasResourceMock.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css.map HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular.min.js.map HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:51 -0600] "GET /AdministradordeTareas/js/angular-resource.min.js.map HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:56 -0600] "GET /AdministradordeTareas/ HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:56 -0600] "GET /AdministradordeTareas/css/app.css HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:56 -0600] "GET /AdministradordeTareas/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:56 -0600] "GET /AdministradordeTareas/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [17/Nov/2016:17:02:56 -0600] "GET /AdministradordeTareas/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
